Region,Country,Site ID,Model,City,Location,WAN Prefix,Jira/Confluence name,ISP,ISPCkt ID,BW (Mb/s),MPLS provider,MPLSCkt ID,Rate,License Tier,EA,WAN2.0Installed by,SD-WAN migration,#Routers,RoutersSysIPs,Platform end of 2020,Stage 2/3Status,Comments,latitude,longitude,geohash
NAM,United States,302000188,Collocation,Billerica,"B02 - 41 Alexander Road, Billerica, MA, US, 01821",usidc1,USIDC1-Billerica,AT&T,,1000,AT&T,,250.0,,,,SD-WAN native,2.0,30.0.1.19130.0.1.192,ISR4451,,Will replace USWA-Watertown,42.5584264,-71.268947,drt64
NAM,United States,302000101,Collocation,Watertown,"AT&T IDC, 480 Arsenal St., Watertown, MA 02472",uswa,USWA-Watertown,AT&T,BREC573657ATI,250 (P),AT&T,IUEC504020ATI,20.0,2.0,X,Daniel L,Bootstrap,2.0,30.0.1.130.0.1.2,ISR4351,DONE,Site to be migrated to Equinix DC,42.3709299,-71.1828321,drt3h
NAM,United States,303200102,Sales-HUB,Chelmsford,Axis Communications Inc:300 Apollo Drive Chelmsford:MA 01824:United States,us,US-Chelmsford,AT&T,BDEC.991840..ATI,300,AT&T,IUEC680572ATI,100.0,2.0,X,,Bootstrap,2.0,30.0.1.330.0.1.4,ISR4351,DONE,May need platform upgrade in Stage 4.,42.5998139,-71.3672838,drt4r
NAM,United States,304200103,Sales-Ordinary,Chicago,"Axis Communications Inc:8700 W. Bryn Mawr Avenue, Suite 100 S.:Chicago IL:60631:United States",usch,USCH-Chicago,AT&T,IUEC.600525..ATI,100,AT&T,MMEC758080ATI,20.0,1.0,X,,Bootstrap,2.0,30.0.1.530.0.1.6,ISR4331,DONE,,41.8755616,-87.6244212,dp3wn
NAM,United States,304200104,Sales-Ordinary,Los Angeles,Axis Communications Inc:18101 Von Karman Avenue:Irvine CA:92612:United States,usla,USLA-Los Angeles,AT&T,IUEC.992249..ATI,100,AT&T,MMEC697473ATI,20.0,1.0,X,,Bootstrap,2.0,30.0.1.730.0.1.8,ISR4331,DONE,,34.0536909,-118.242766,9q5ct
NAM,United States,304200105,Sales-Ordinary,Dallas,Axis Communications Inc:433 E. Las Colinas Boulevard:Waterway Tower:Irving:75039 Texas:United States,usda,USDA-Dallas,AT&T,IUEC.570919..ATI,100,AT&T,MMEC637402ATI,20.0,1.0,X,,Bootstrap,2.0,30.0.1.930.0.1.10,ISR4331,DONE,,32.7762719,-96.7968559,9vg4m
NAM,United States,304200106,Sales-Ordinary,Fort Lauderdale,Axis Communications Inc:200 East Broward Boulevard:Fort Lauderdale:FL:33301:United States,usfl,USFL-FortLauderdale,AT&T,IUEC.614332..ATI,100,AT&T,MMEC667646ATI,20.0,1.0,X,,Bootstrap,2.0,30.0.1.1130.0.1.12,ISR4331,DONE,,26.1223084,-80.1433786,dhxh8
NAM,United States,304200107,Sales-Ordinary,Washington DC,"Axis Communications AB:Potomac Tower 1001 19t Street North Suite 1400 Arlington, Virginia, 22209,United States",usdc,USDC-Washington,AT&T,BDEC994920ATI,100,AT&T,MMEC874369ATI,20.0,1.0,X,Tobias N,Bootstrap,2.0,30.0.1.1330.0.1.14,ISR4331,DONE,,38.8950368,-77.0365427,dqcjq
NAM,United States,305200108,Sales-Mini,New York,"Tower 49 12 East 49th Street New York, NY 10017",usny,USNY-Manhattan,AT&T,,100,AT&T,,20.0,1.0,X,,Hot swap,1.0,30.0.1.15,ISR4331,DONE,,40.7127281,-74.0060152,dr5re
NAM,United States,305200109,Sales-Mini,San Jose,"2077 Gateway Place, Suite 500, San Jose, CA, 95110",ussj,USSJ-San Jose,AT&T,,100,AT&T,,20.0,1.0,X,,SD-WAN native,1.0,30.0.1.17,ISR4331,DONE,,37.3361905,-121.890583,9q9k6
NAM,United States,305000110,Sales-Mini,Atlanta,"3455 Peachtree Road, NE, Suite 100, Atlanta, GA, 30326",usat,USAT-Atlanta,AT&T,,100,AT&T,,20.0,1.0,X,,SD-WAN native,1.0,30.0.1.19,ISR4331,DONE,,33.7489924,-84.3902644,djgzz
NAM,United States,305200111,Sales-Mini,Houston,Planning,usht,USHT-Houston,AT&T,,100,AT&T,,20.0,1.0,,,SD-WAN native,1.0,30.0.1.21,ISR4331,,,29.7589382,-95.3676974,9vk1m
NAM,Canada,304200130,Sales-Ordinary,Toronto,"Axis Communications Inc:90 Burnhamthorpe Rd W, Suite 1202:Mississauga:ON L5B 3C3:Canada",ca,CA-Mississauga,AT&T,,100,AT&T,,20.0,1.0,X,,Bootstrap,2.0,30.0.1.2330.0.1.24,ISR4331,DONE,,43.6534817,-79.3839347,dpz83
NAM,Canada,305200131,Sales-Mini,Vancouver,Planning,cava,CAVA-Vancouver,AT&T,,100,AT&T,,20.0,1.0,,,SD-WAN native,1.0,30.0.1.25,ISR4331,,,49.2608724,-123.113952,c2b2n
NAM,Mexico,304205201,Sales-Ordinary,Mexico City,"Axis LAC S.A. de C.V.:Blvd. Manuel Avila Camacho 170:Interior 402, Col. Reforma Social:Mexico D.F.:C.P. 11650:Mexico",mx,MX-Mexico City,AT&T,,100,AT&T,MMYF109648ATI,20.0,1.0,X,,Bootstrap,2.0,30.0.52.130.0.52.2,ISR4331,DONE,,19.4326296,-99.1331785,9g3w8
SAM,Brazil,404405501,Sales-Ordinary,Sao Paulo,Axis Communications Com e Serv Ltda:Rua Mario Amaral 172:13er Andar:Conjunto 131:04002-020 Sao Paulo:Brazil,br,BR-Sao Paulo,,,10,,,,1.0,X,,Hot swap,2.0,40.0.55.140.0.55.2,ISR4331,DONE,,-23.5506507,-46.6333824,6gyf4
SAM,Colombia,405405701,Sales-Mini,Bogota,Axis Communications:Carrera 13 No 97-76 Of 404:Bogota:Colombia,co,CO-Bogota,,,50,,,,1.0,X,,Bootstrap,1.0,40.0.57.1,ISR4331,DONE,,4.6533326,-74.083652,d2g66
SAM,Chile,405405601,Sales-Mini,Santiago,Axis Communications Chile Ltda. Vitacura 2771 of. 201 Las Condes - 7550134 Santiago - Chile,cl,CL-Santiago,,,10,,,,1.0,X,Tobias N,Bootstrap,1.0,40.0.56.1,ISR4331,DONE,,-33.4377756,-70.6504502,66jcb
